x,y
0.00,30.00
1.00,33.30
2.00,36.60
3.00,39.90
4.00,43.20
5.00,46.50
6.00,49.80
7.00,53.10
8.00,56.40
9.00,59.70
10.00,63.00
11.00,66.30
12.00,69.60
13.00,72.90
14.00,76.20
15.00,79.50
16.00,82.80
17.00,86.10
18.00,89.40
19.00,92.70
20.00,96.00
21.00,99.30
22.00,102.60
23.00,105.90
24.00,109.20
25.00,112.50
26.00,115.80
27.00,119.10
28.00,122.40
29.00,125.70
30.00,129.00
31.00,132.30
32.00,135.60
33.00,138.90
34.00,142.20
35.00,145.50
36.00,148.80
37.00,152.10
38.00,155.40
39.00,158.70
40.00,162.00
41.00,165.30
42.00,168.60
43.00,171.90
44.00,175.20
45.00,178.50
46.00,181.80
47.00,185.10
48.00,188.40
49.00,191.70
50.00,195.00
51.00,198.30
52.00,201.60
53.00,204.90
54.00,208.20
55.00,211.50
56.00,214.80
57.00,218.10
58.00,221.40
59.00,224.70
60.00,228.00
61.00,231.30
62.00,234.60
63.00,237.90
64.00,241.20
65.00,244.50
66.00,247.80
67.00,251.10
68.00,254.40
69.00,257.70
70.00,261.00
71.00,264.30
72.00,267.60
73.00,270.90
74.00,274.20
75.00,277.50
76.00,280.80
77.00,284.10
78.00,287.40
79.00,290.70
80.00,294.00
81.00,297.30
82.00,300.60
83.00,303.90
84.00,307.20
85.00,310.50
86.00,313.80
87.00,317.10
88.00,320.40
89.00,323.70
90.00,327.00
91.00,330.30
92.00,333.60
93.00,336.90
94.00,340.20
95.00,343.50
96.00,346.80
97.00,350.10
98.00,353.40
99.00,356.70
